iter	Passed	Remaining
988	39100	434
989	39124	395
990	39160	355
991	39198	316
992	39233	276
993	39268	237
994	39302	197
995	39341	157
996	39377	118
997	39413	78
998	39446	39
999	39492	0
